"id,""tema"",""subtema"",""texto_pregunta"",""opcion_a"",""opcion_b"",""opcion_c"",""opcion_d"",""opcion_e"",""alternativa_correcta"",""respuesta_correcta"",""tipo_origen"",""origen"",""imagen"",""notas""";;;;;
"17,""Comprensión de Texto"",""Análisis crítico"",""Texto del Tema: Es preciso tener en cuenta que Sócrates, como todos los genios, quizá no lo pareciera ante los ojos de sus contemporáneos hasta que su muerte depuró en él, por decirlo así, toda aquella especie de imperfección que empequeñece, cuando se las mira de cerca, a las más grandes figuras. Desde luego, aún sus más furiosos partidarios no podrán menos que confesar que había motivo para engañarse al apreciar los objetivos de Sócrates, cuando se le veía discutir con chistes y cuentecitos entre la plebe menos ilustrada. Esta singular conducta, cuando sus años fines no eran bien conocidos, se prestaba indudablemente al ridículo, y por eso Sócrates, que despreciaba las vologares preocupaciones que acerca de él existían, fue el blanco, como dice Séneca, de las envenenadas burlas de los cômicos. Porque no fue solo Aristófanes quien lo escarneció en el teatro";" Eupolis y Amipsias lo llamaron vanidoso, mendigo y ladrón, y es de creer que también otros, dada la declarada guerra que entre poetas, cômicos, filósofos y trágicos existía. PREGUNTA: Según el texto, ¿qué es correcto?"",""La muerte descubrió las pequeñeces de Sócrates para sus contemporáneos."",""Las imperfecciones empequeñas a la más grandes figuras, cuando se les mira de cerca."",""Sócrates no tenía imperfecciones."",""Sócrates no fue visto como todos los genios a él lo criticaron sus contemporáneos."",""Los partidarios de Sócrates también lo eran de Séneca."",""b"",""Las imperfecciones empequeñas a la más grandes figuras, cuando se les mira de cerca."",""EXAMEN ADMISIÓN"",""CPU-30-03-2025-1"","""",""""";;;;
"18,""Comprensión de Texto"",""Análisis crítico"",""Texto del Tema: Es preciso tener en cuenta que Sócrates, como todos los genios, quizá no lo pareciera ante los ojos de sus contemporáneos hasta que su muerte depuró en él, por decirlo así, toda aquella especie de imperfección que empequeñece, cuando se las mira de cerca, a las más grandes figuras. Desde luego, aún sus más furiosos partidarios no podrán menos que confesar que había motivo para engañarse al apreciar los objetivos de Sócrates, cuando se le veía discutir con chistes y cuentecitos entre la plebe menos ilustrada. Esta singular conducta, cuando sus años fines no eran bien conocidos, se prestaba indudablemente al ridículo, y por eso Sócrates, que despreciaba las vologares preocupaciones que acerca de él existían, fue el blanco, como dice Séneca, de las envenenadas burlas de los cômicos. Porque no fue solo Aristófanes quien lo escarneció en el teatro";" Eupolis y Amipsias lo llamaron vanidoso, mendigo y ladrón, y es de creer que también otros, dada la declarada guerra que entre poetas, cômicos, filósofos y trágicos existía. PREGUNTA: Según el texto, ¿qué es correcto?"",""Es puesta en tela de juicio por el autor."",""Fue reconocida por sus contemporáneos."",""Fue reconocida póstumamente."",""Fue defendida por sus partidarios, dada la claridad de sus objetivos."",""No fue apreciada hasta después de la muerte de sus rivales."",""c"",""Fue reconocida póstumamente."",""EXAMEN ADMISIÓN"",""CPU-30-03-2025-1"","""",""""";;;;
"19,""Oraciones Eliminadas"",""Coherencia textual"",""EL MEDIO TELEVISIVO Y LA POLÍTICA I. La televisión es un medio de comunicación que sirve para orientar, educar y entretener. II. El medio televisivo ha tenido un papel protagónico en las atacaciones de algunos presidentes en el mundo. III. Es como una pieza pública que invita a los candidatos para exponer sus propuestas. IV. Los candidatos derivan la oportunidad de aparecer en la televisión para obtener simpatías emocionales. V. La televisión es un medio certero y relativamente barato para difundir ideas políticas."",""III"",""II"",""IV"",""I"",""V"",""a"",""III"",""EXAMEN ADMISIÓN"",""CPU-30-03-2025-1"","""",""""";;;;;
"20,""Oraciones Eliminadas"",""Hagiografía "",""LA HAGIOGRAFÍA I. El término hagiografía hace referencia al estudio de la vida de los santos. II. La hagiografía se convirtió en una rama de la historia de la Iglesia. III. La Iglesia Católica siempre ha combatido el culto a los santos. IV. La hagiografía tenía como objetivo fijar qué santos podían ser objeto de culto. V. Gracias a la hagiografía paulatinamente fue incrementándose el culto a los santos."",""IV"",""V"",""II"",""III"",""I"",""d"",""III"",""EXAMEN ADMISIÓN"",""CPU-30-03-2025-1"","""",""""";;;;;
"21,""Álgebra"",""ecuaciones algebraicas"",""Hallar x en: "",""3"",""4"",""5"",""6"",""7"",""c"",""5"",""EXAMEN ADMISIÓN"",""CPU-30-03-2025-1"",""https://raw.githubusercontent.com/banco-preguntas-ia/bank/refs/heads/master/images/CPU-2025-1/21.png"",""""";;;;;
"22,""Álgebra"",""Racionalización de expresiones con radicales"",""Racionalizar la siguiente expresión: "",""√7 - √2"",""√13 - √2"",""5√7 - √5"",""√5 - √3"",""√3 - √2"",""a"",""√7 - √2"",""EXAMEN ADMISIÓN"",""CPU-30-03-2025-1"",""https://raw.githubusercontent.com/banco-preguntas-ia/bank/refs/heads/master/images/CPU-2025-1/22.png"",""""";;;;;
"23,""Álgebra"",""Números complejos"",""Si:  z ⊂ C/|z+9| = 3|z+1|, calcular: |z| "",""1"",""2"",""6"",""9"",""3"",""e"",""3"",""EXAMEN ADMISIÓN"",""CPU-30-03-2025-1"","""",""""";;;;;
"24,""Álgebra"",""expresiones algebraicas"",""Si se tiene que: "",""27"",""36"",""35"",""18"",""28"",""b"",""36"",""EXAMEN ADMISIÓN"",""CPU-30-03-2025-1"",""https://raw.githubusercontent.com/banco-preguntas-ia/bank/refs/heads/master/images/CPU-2025-1/24.png"",""""";;;;;
"25,""Álgebra"",""Polinomios"",""Sabiendo que:"",""1"",""2"",""4"",""3"",""0"",""e"",""0"",""EXAMEN ADMISIÓN"",""CPU-30-03-2025-1"",""https://raw.githubusercontent.com/banco-preguntas-ia/bank/refs/heads/master/images/CPU-2025-1/25.png"",""""";;;;;
"26,""Álgebra"",""Operaciones con radicales y exponentes"",""Si ∛(x⁵ · √(x² · ∜x²)) es equivalente a "",""4"",""25"",""81"",""9"",""5"",""e"",""5"",""EXAMEN ADMISIÓN"",""CPU-30-03-2025-1"",""https://raw.githubusercontent.com/banco-preguntas-ia/bank/refs/heads/master/images/CPU-2025-1/26.png"",""""";;;;;
"27,""Aritmética"",""Problemas de conjuntos y razonamiento lógico"",""De 32 personas que practican básquet o vóley se sabe que el número de mujeres que practica solo basquet es menor en la que las personas que practican ambos deportes y es la cuarta parte de los hombres que practican solo vóley. Si los hombres que practican solo básquet son tantos como los que practican solo vóley, calcule la máxima cantidad de personas practican solo básquet."",""8"",""12"",""10"",""9"",""11"",""c"",""10"",""EXAMEN ADMISIÓN"",""CPU-30-03-2025-1"","""",""""";;;;;
"28,""Aritmética"",""Problemas de gasto y máximo valor"",""Angela va a una librería y compra lápices, lapiceros y borradores"; cada lapicero cuesta S/.0,60;" cada lápiz S/.0,30 y cada borrador S/.0,50. Si llevó S/.20 y le dieron de vuelto S/.8, ¿cuántos borradores como máximo puede comprar?"",""23"",""22"",""18"",""21"",""20"",""d"",""21"",""EXAMEN ADMISIÓN"",""CPU-30-03-2025-1"","""",""""";;;
"29,""Aritmética"",""Raíz cuadrada y valor numérico"",""Hallar el valor de a + b + c, si al extraer la raíz cuadrada de 'b5c9' (número de 4 digitos) se obtiene 'ab' (número de 2 digitos)"",""21"",""17"",""18"",""19"",""20"",""a"",""21"",""EXAMEN ADMISIÓN"",""CPU-30-03-2025-1"","""",""""";;;;;
"30,""Aritmética"",""Máximo común divisor (MCD) y fracciones equivalentes"",""El MCD del numerador y denominador de una fracción equivalente a 16/72 es 13, ¿cuál es esta fracción?"",""130/234"",""52/65"",""26/117"",""65/117"",""26/239"",""c"",""26/117"",""EXAMEN ADMISIÓN"",""CPU-30-03-2025-1"","""",""""";;;;;
"31,""Geometría"",""Segmentos y proporciones geométricas"",""Sobre una recta se tienen los puntos consecutivos P, Q, R, y S, tales que: (PQ/3)=(QR/4)=(RS/5) y 2PQ + 5QR + 8RS = 132 Hallar: PQ"",""4"",""3"",""2"",""5"",""6"",""e"",""6"",""EXAMEN ADMISIÓN"",""CPU-30-03-2025-1"","""",""""";;;;;
"32,""Geometría"",""Rectas paralelas y segmentos proporcionales"",""Si L1 ∥ L2 ∥ L3 ∥ L4. Hallar """"x"""""",""1"",""3"",""4"",""5"",""2"",""e"",""2"",""EXAMEN ADMISIÓN"",""CPU-30-03-2025-1"",""https://raw.githubusercontent.com/banco-preguntas-ia/bank/refs/heads/master/images/CPU-2025-1/32.png"",""""";;;;;
"33,""Geometría"",""Relaciones métricas en segmentos"",""Sobre una línea recta se ubican los puntos consecutivos A, B, C y D, tales que: AB·CD = AD·BC, BC·CD = 28, CD - BC = 7. Calcular AC"",""6"",""5"",""8"",""4"",""2"",""c"",""8"",""EXAMEN ADMISIÓN"",""CPU-30-03-2025-1"","""",""""";;;;;
"34,""Geometría"",""Ángulos en triángulos"",""Calcular """"x"""" en la siguiente figura";" si AB = BD y BC = AC"",""30°"",""40°"",""10°"",""20°"",""25°"",""b"",""40°"",""EXAMEN ADMISIÓN"",""CPU-30-03-2025-1"",""https://raw.githubusercontent.com/banco-preguntas-ia/bank/refs/heads/master/images/CPU-2025-1/34.png"",""""";;;;
"35,""Trigonometría"",""Identidades trigonométricas"",""Si: senx + sen²x = 1, calcular: E = cos²x + cos⁴x"",""-1"",""2"",""3"",""4"",""1"",""e"",""1"",""EXAMEN ADMISIÓN"",""CPU-30-03-2025-1"","""",""""";;;;;
"36,""Trigonometría"",""Identidades trigonométricas"",""Calcular: A = tgx(1 - ctg²x) + ctgx(1 - tg²x)"",""0"",""-1"",""-1"",""2"",""-2"",""a"",""0"",""EXAMEN ADMISIÓN"",""CPU-30-03-2025-1"","""",""""";;;;;
"37,""Estadística"",""Distribución de frecuencias"",""Complete el siguiente cuadro de distribución de frecuencias (ver tabla adjunta). Calcular: a + x₅ + f₂"",""75"",""80"",""70"",""90"",""85"",""e"",""85"",""EXAMEN ADMISIÓN"",""CPU-30-03-2025-1"",""https://raw.githubusercontent.com/banco-preguntas-ia/bank/refs/heads/master/images/CPU-2025-1/37.png"",""""";;;;;
"38,""Estadística"",""Cálculo de la moda en datos agrupados"",""A través de una encuesta realizada a 400 trabajadores sobre sus salarios mensuales (ver tabla adjunta). Calcula la moda"",""81"",""82"",""83"",""84"",""85"",""e"",""85"",""EXAMEN ADMISIÓN"",""CPU-30-03-2025-1"",""https://raw.githubusercontent.com/banco-preguntas-ia/bank/refs/heads/master/images/CPU-2025-1/38.png"",""""";;;;;
"39,""Estadística"",""Probabilidad condicional"",""El departamento de ventas de un hipermercado reportó que el 20% de sus ventas son pagadas en efectivo";" el 35% con cheque y 45% con tarjeta de crédito. El 30% de las compras en efectivo, el 80% de las compras con cheques y el 70% de las compras con tarjeta son por más de $60. La señora Peña acaba de comprar en ese hipermercado por un monto de $100, ¿cuál es la probabilidad que haya pagado con tarjeta de crédito?"",""0,305/0,655"",""0,315/0,655"",""0,315/0,556"",""0,305/0,056"",""0,305/0,556"",""b"",""0,315/0,655"",""EXAMEN ADMISIÓN"",""CPU-30-03-2025-1"","""",""""";;;;
"40,""Estadística"",""Media, mediana y moda"",""Se registran las estaturas en centímetros de 6 estudiantes ordenadas de menor a mayor, las cuales son: 147"; a;a; b;162;" 171. Si la media y la mediana son 157 y 154.5, respectivamente, calcule la moda:"",""154"",""155"",""156"",""157"",""153"",""e"",""153"",""EXAMEN ADMISIÓN"",""CPU-30-03-2025-1"","""","""""
"41,""Biología"",""Estructuras celulares procariotas"",""Juan está estudiando las diferencias entre células procariotas y eucariotas. Nota que una bacteria es mucho más simple y pequeña que una célula animal. Además, observa que las bacterias carecen de organelas";" pero encuentra que una de las siguientes estructuras es exclusiva de estas células:"",""Tiene una membrana celular"",""Contiene mitocondrias para la respiración celular"",""Posee únicamente 2 cromosomas"",""Su ADN está en un nucleoide, no en un núcleo."",""Su ADN está organizado en cromosomas lineales."",""d"",""Su ADN está en un nucleoide, no en un núcleo."",""EXAMEN ADMISIÓN"",""CPU-30-03-2025-1"","""",""""";;;;
"42,""Biología"",""Organelas exclusivas de eucariotas"",""En su clase de Biología, Jacinta observa una imagen de una célula en el microscopio y nota la presencia de un núcleo claramente definido. La profesora le explica que esta característica es distintiva de las células eucariotas, en contraste con las procariotas. Jacinta se pregunta qué otras estructuras son únicas en este tipo de células:"",""Ribosomas"",""Pared celular"",""Mitocondrias"",""Membrana plasmática"",""Material genético en forma de ADN"",""c"",""Mitocondrias"",""EXAMEN ADMISIÓN"",""CPU-30-03-2025-1"","""",""""";;;;;
"43,""Biología"",""Ciclo celular: Interfase"",""En clase, el profesor preguntó: 'Cuando una célula no está en división, sigue realizando sus funciones normales en una etapa que forma la mayor parte de su vida' ¿Cómo se llama esta etapa?"",""Mitosis"",""Interfase"",""Citocinesis"",""Anafase"",""Telofase"",""b"",""Interfase"",""EXAMEN ADMISIÓN"",""CPU-30-03-2025-1"","""",""""";;;;;
"44,""Biología"",""Protozoos flagelados y enfermedades"",""Entre los protozoos flagelados se encuentran muchos organismos causantes de enfermedades. Tal es el caso de la vaginitis causada por:"",""Candida"",""Trychomonas"",""Plasmodium"",""Balantidium"",""Entamoeba"",""b"",""Trychomonas"",""EXAMEN ADMISIÓN"",""CPU-30-03-2025-1"","""",""""";;;;;
"45,""Biología"",""Homeostasis en seres vivos"",""Es el estado de equilibrio dinámico que caracteriza a los seres vivos, manifestado en sus componentes y procesos, este enunciado pertenece a:"",""Sensibilidad"",""Irritabilidad"",""Homeostasis"",""Respuesta"",""Movimiento"",""c"",""Homeostasis"",""EXAMEN ADMISIÓN"",""CPU-30-03-2025-1"","""",""""";;;;;
"46,""Biología"",""Tipos de algas marinas"",""Es un tipo de alga marina que se encuentra a mayor profundidad (100-200 metros de la superficie). Se caracterizan por presentar rodoplastos que contienen clorofila, tiene pigmentos accesorios Ficoeritrina y Ficocianina. Este enunciado pertenece a:"",""Feofitas"",""Clorofitas"",""A y B"",""Rodofitas"",""Crisofitas"",""d"",""Rodofitas"",""EXAMEN ADMISIÓN"",""CPU-30-03-2025-1"","""",""""";;;;;
"47,""Química"",""Configuración electrónica y subniveles"",""¿Cuántos electrones como máximo se pueden ubicar en una configuración que presenta 3 subniveles 'p' llenos?"",""52"",""54"",""55"",""53"",""56"",""d"",""53"",""EXAMEN ADMISIÓN"",""CPU-30-03-2025-1"","""",""""";;;;;
"48,""Química"",""Isótopos y electrones de valencia"",""Un elemento químico posee dos isótopos cuyos números de masa suman 138 y poseen 70 neutrones en total. Indique el número de electrones de valencia."",""6"",""3"",""4"",""5"",""7"",""a"",""6"",""EXAMEN ADMISIÓN"",""CPU-30-03-2025-1"","""",""""";;;;;
"49,""Química"",""Cálculos estequiométricos"",""En 550 toneladas de muestra de pirita se encontró que contenía 80% en masa de sulfuro ferroso (FeS). Determine la masa de hierro, en toneladas, que está presente en dicha muestra. Datos: masas molares (g/mol): S = 32";" Fe = 56"",""240"",""320"",""360"",""280"",""450"",""d"",""280"",""EXAMEN ADMISIÓN"",""CPU-30-03-2025-1"","""",""""";;;;
"50,""Química"",""Concentración porcentual en masa"",""Un ácido nítrico concentrado tiene una densidad de 1,38 g/ml y una molaridad de 20,8 mol/L. ¿Cuál es la concentración en porcentaje en masa de HNO₃ en la solución?"",""80"",""50"",""75"",""95"",""10"",""d"",""95"",""EXAMEN ADMISIÓN"",""CPU-30-03-2025-1"","""",""""";;;;;
"51,""Química"",""Velocidad de reacción química"",""Se oxida amoniaco (NH₃) y se produce gas nitrógeno y vapor (H₂O). Se observa que la velocidad del (NH₃) es 20 mol/L.min. Calcule la V_{O₂}."",""15 mol/L.min"",""5 mol/L.min"",""10 mol/L.min"",""20 mol/L.min"",""25 mol/L.min"",""a"",""15 mol/L.min"",""EXAMEN ADMISIÓN"",""CPU-30-03-2025-1"","""",""""";;;;;
"52,""Química"",""Nomenclatura de compuestos inorgánicos"",""Evalúe cada alternativa e indique la relación incorrecta de la fórmula: nombre"",""PO₄⁻³: fosfato"",""NO₃⁻¹: nitrato"",""BO₃⁻³: borato"",""CIO₄⁻¹: clorato"",""CrO₄⁻²: cromato"",""d"",""CIO₄⁻¹: clorato"",""EXAMEN ADMISIÓN"",""CPU-30-03-2025-1"","""",""""";;;;;
"53,""Física"",""Módulo de vectores"",""Hallar el módulo del vector resultante de los vectores de la imagen al combinarlos."",""8 u"",""7 u"",""2 u"",""15 u"",""14 u"",""b"",""7 u"",""EXAMEN ADMISIÓN"",""CPU-30-03-2025-1"",""https://raw.githubusercontent.com/banco-preguntas-ia/bank/refs/heads/master/images/CPU-2025-1/53.png"",""""";;;;;
"54,""Física"",""Aceleración en planos inclinados"",""Hallar la aceleración con que se desplazan los bloques de igual masa. Los bloques de la imagen estan unidos por una cuerda, uno sobre una superficie horizontal y otro sobre un plano inclinado a 30°."",""g"",""g/2"",""g/4"",""2g"",""3g/2"",""c"",""g/4"",""EXAMEN ADMISIÓN"",""CPU-30-03-2025-1"",""https://raw.githubusercontent.com/banco-preguntas-ia/bank/refs/heads/master/images/CPU-2025-1/54.png"",""""";;;;;
"55,""Física"",""Aceleración de la gravedad en planetas"",""Halle la aceleración de la gravedad en un planeta de M = 10²³ kg";" R = 1000 km"",""5m/s²"",""6,1m/s²"",""9,6m/s²"",""6,67m/s²"",""8,1m/s²"",""d"",""6,67m/s²"",""EXAMEN ADMISIÓN"",""CPU-30-03-2025-1"","""",""""";;;;
"56,""Física"",""Equilibrio electrostático"",""En la figura se muestra dos cargas q₁ = +50 μC y q₂ = -18 μC separadas la distancia d = 4m. Calcular la distancia x que define la posición de un punto P en el cual toda carga negativa se encontrará siempre en equilibrio. Donde P se encuentra a una distancia de x de q₂ y a x+d de q₁ ."",""2m"",""4m"",""8m"",""6m"",""10m"",""d"",""6m"",""EXAMEN ADMISIÓN"",""CPU-30-03-2025-1"",""https://raw.githubusercontent.com/banco-preguntas-ia/bank/refs/heads/master/images/CPU-2025-1/56.png"",""""";;;;;
"57,""Anatomía"",""Composición del tejido óseo"",""El tejido óseo es uno de los más resistentes y rígidos del organismo, debido a la presencia de:"",""Células osteoblastos"",""Células osteocitos"",""Fosfato de calcio"",""Células osteoclastos"",""Osteonectina"",""c"",""Fosfato de calcio"",""EXAMEN ADMISIÓN"",""CPU-30-03-2025-1"","""",""""";;;;;
"58,""Anatomía"",""Diálisis y su aplicación"",""¿Qué es la diálisis y cuándo se utiliza?"",""Un método artificial para filtrar la sangre cuando los riñones fallan"",""Un procedimiento para eliminar el exceso de agua del cuerpo."",""Un tratamiento para infecciones urinarias."",""Una técnica para aumentar la producción de orina."",""Un examen para medir la función renal."",""a"",""Un método artificial para filtrar la sangre cuando los riñones fallan"",""EXAMEN ADMISIÓN"",""CPU-30-03-2025-1"","""",""""";;;;;
"59,""Anatomía"",""Hormonas en el parto"",""¿Cuál de las siguientes hormonas es responsable de las contracciones uterinas durante el parto?"",""Estrógeno"",""Progesterona"",""Hormona folículo estimulante (FSH)"",""Oxitocina"",""Hormona luteinizante (LH)"",""d"",""Oxitocina"",""EXAMEN ADMISIÓN"",""CPU-30-03-2025-1"","""",""""";;;;;
"60,""Anatomía"",""Tejido cartilaginoso"",""Es un tejido conectivo de consistencia semirigida semejante al plástico que se encuentra adaptada para soportar peso y su eficacia, en este sentido, solo es superada por el tejido óseo. A qué tejido corresponde:"",""Tejido elástico"",""Tejido adiposo"",""Tejido cartilaginoso"",""Tejido óseo"",""Tejido óseo esponjoso"",""c"",""Tejido cartilaginoso"",""EXAMEN ADMISIÓN"",""CPU-30-03-2025-1"","""",""""";;;;;
"61,""Historia del Perú"",""Arqueología peruana: Cueva de Pikimachay"",""La cueva de Pikimachay, ubicado en el departamento de Ayacucho fue estudiado por el arqueólogo:"",""Ramiro Matos."",""Edward Lanning"",""Rafael Larco Hoyle"",""Augusto Cardich"",""Richard Mc Neish"",""e"",""Richard Mc Neish"",""EXAMEN ADMISIÓN"",""CPU-30-03-2025-1"","""",""""";;;;;
"62,""Historia del Perú"",""Historia económica del Perú"",""Durante qué gobierno, el Perú empezó a depender del capital norteamericano (EE. UU.)"",""Manuel Prado Ugarteche"",""Manuel A. Odria"",""Augusto B. Leguia"",""Fernando Belaunde Terry"",""Manuel Candamo"",""c"",""Augusto B. Leguia"",""EXAMEN ADMISIÓN"",""CPU-30-03-2025-1"","""",""""";;;;;
"63,""Historia del Mundo"",""Guerras en la antigua Grecia"",""Las Guerras Médicas y la Guerra del Peloponeso se desarrollaron en:"",""En la antigua Roma"",""En la Hegemonia de los Acadios"",""La antigua Grecia"",""En el territorios de los Macedonios"",""En territorios de los Egeos"",""c"",""La antigua Grecia"",""EXAMEN ADMISIÓN"",""CPU-30-03-2025-1"","""",""""";;;;;
"64,""Historia del Mundo"",""Culturas antiguas: Fenicios"",""Fue una de las culturas en difundir el primer alfabeto fonético de 22 letras, también utilizaban la moneda, el trueque y fueron grandes comerciantes:"",""Los egipcios"",""Hebreos"",""Mesopotamia"",""Los persas"",""Los fenicios"",""e"",""Los fenicios"",""EXAMEN ADMISIÓN"",""CPU-30-03-2025-1"","""",""""";;;;;
"65,""Espacio Geográfico"",""Tipos de erosión geológica"",""En las clases de erosión tenemos:"",""Degradación glacial – eólica"",""Médanos – dunas"",""Morrenas y drumlins"",""Agradación kársica"",""Fluvial- eólica"",""e"",""Fluvial- eólica"",""EXAMEN ADMISIÓN"",""CPU-30-03-2025-1"","""",""""";;;;;
"66,""Espacio Geográfico"",""Impacto de las heladas en la agricultura"",""Señala una consecuencia de las heladas en la región Suni:"",""Atrofía el desarrollo de las plantas de cultivo"",""Desprendimiento de grandes bloques de hielo"",""Solo afecta a los tuberculos como la papa"",""Genera la escasez de agua en los ríos"",""Provoca los intensos huaycos en las épocas de verano"",""a"",""Atrofía el desarrollo de las plantas de cultivo"",""EXAMEN ADMISIÓN"",""CPU-30-03-2025-1"","""",""""";;;;;
